time[s],thrust[N]
0.1284,494.5033262
0.1286,494.576117
0.1288,495.304025
0.129,495.5223974
0.1292,496.2503054
0.1294,496.5414686
0.1296,496.8326318
0.1298,496.395887
0.13,496.6142594
0.1302,496.9782134
0.1304,496.9782134
0.1306,497.6333306
0.1308,497.9972846
0.131,497.9972846
0.1312,498.7251926
0.1314,499.0163558
0.1316,500.035427
0.1318,500.1082178
0.132,500.2537994
0.1322,499.8898454
0.1324,499.5986822
0.1326,499.4531006
0.1328,499.0163558
0.133,498.7979834
0.1332,498.2884478
0.1334,497.7789122
0.1336,497.9244938
0.1338,498.215657
0.134,498.215657
0.1342,498.4340294
0.1344,498.4340294
0.1346,498.579611
0.1348,498.6524018
0.135,498.8707742
0.1352,498.7979834
0.1354,498.3612386
0.1356,498.7251926
0.1358,499.0163558
0.136,499.4531006
0.1362,499.8170546
0.1364,499.4531006
0.1366,500.035427
0.1368,500.5449626
0.137,501.1272889
0.1372,501.9279877
0.1374,501.6368245
0.1376,501.9279877
0.1378,501.7824061
0.138,502.1463601
0.1382,502.2191509
0.1384,502.0735693
0.1386,501.8551969
0.1388,501.2728705
0.139,500.8361257
0.1392,500.6905442
0.1394,500.5449626
0.1396,499.8898454
0.1398,499.7442638
0.14,500.035427
0.1402,500.1082178
0.1404,499.8170546
0.1406,499.7442638
0.1408,500.035427
0.141,500.1082178
0.1412,500.5449626
0.1414,500.399381
0.1416,500.6905442
0.1418,500.8361257
0.142,501.0544981
0.1422,501.9279877
0.1424,502.3647325
0.1426,502.8014773
0.1428,503.0198497
0.143,503.3110129
0.1432,503.9661301
0.1434,504.1845025
0.1436,504.2572933
0.1438,504.3300841
0.144,504.6940381
0.1442,505.1307829
0.1444,505.4219461
0.1446,505.7131093
0.1448,505.5675277
0.145,505.7131093
0.1452,505.4219461
0.1454,505.7131093
0.1456,505.7859001
0.1458,504.9852013
0.146,504.9124105
0.1462,504.6212473
0.1464,504.5484565
0.1466,504.5484565
0.1468,504.5484565
0.147,504.0389209
0.1472,504.0389209
0.1474,503.8933393
0.1476,503.6749669
0.1478,503.5293853
0.148,504.1117117
0.1482,503.9661301
0.1484,504.6940381
0.1486,504.8396197
0.1488,505.2763645
0.149,504.9852013
0.1492,505.3491553
0.1494,505.2763645
0.1496,505.7131093
